"","CVE_ENT","POBTOT_tot","VPH_C_ELEC_tot","VPH_EXCSA_tot","VPH_DRENAJ_tot","VPH_REFRI_tot","VPH_AUTOM_tot","VPH_TV_tot","VPH_PC_tot","VPH_CEL_tot","VPH_INTER_tot","VPH_STVP_tot","VPH_CVJ_tot","VIVPAR_HAB_tot","max_viviendas_tot"
"1","01",151968,41308,41317,41324,39980,26267,40160,21216,39706,28563,21196,8688,40199,41357
"2","02",59052,17654,17527,17593,17233,13908,16835,9400,16616,13197,10710,3064,16843,17831
"3","03",72150,21953,21917,21843,20955,14595,19854,11979,21089,17060,11909,4054,19561,22178
"4","04",107670,31127,30956,31034,29213,13837,29109,15710,29412,20699,17927,2760,29992,31286
"5","05",129227,38063,38049,38063,37235,23777,37044,19993,36510,26935,20286,7574,35899,38098
"6","06",33087,10576,10558,10575,9871,3347,9667,3051,9463,5466,5309,265,9471,10663
"7","07",176903,50482,50464,50491,47667,21674,47642,24780,47490,32390,21173,3034,49816,50783
"8","08",89064,23906,23801,23843,23450,17316,23332,11326,22764,16539,7429,4223,23566,23974
"9","09",355865,128045,127845,127960,124879,72440,123842,96585,121362,110093,76814,34636,110644,128209
"10","10",94366,25855,25820,25854,24878,15357,24977,13411,24979,16834,12447,4957,24943,25879
"11","11",106703,25959,25869,25918,24510,12032,24836,9867,23781,13205,11438,2560,25889,26025
"12","12",16992,3995,3950,3962,3661,1379,3570,1364,3701,2286,1575,209,2559,3999
"13","13",110061,31391,31324,31376,28913,17465,29981,16631,29672,20923,16410,4221,29205,31654
"14","14",39078,7860,7829,7847,7326,3483,7490,2390,7479,3998,3486,986,7186,7877
"15","15",239681,65570,65468,65388,61738,31618,63466,33638,59453,44737,27384,10238,60786,65692
"16","16",82714,22746,22678,22721,20833,9238,21742,7918,20335,13406,12163,2350,22154,22802
"17","17",160441,46327,46264,46311,44330,22672,43952,22846,43083,32754,22955,5540,42924,46424
"18","18",129611,38893,38887,38926,37274,21739,37112,21916,36521,28183,20023,5870,37899,39084
"19","19",22174,5100,5100,5101,4874,2267,4820,1933,4954,2885,1810,662,4957,5103
"20","20",146797,41495,41178,41391,37844,20084,37756,23485,39089,29959,14494,3208,40661,41827
"21","21",136837,38531,38448,38481,36444,20078,36895,22162,36296,27345,18085,6465,36558,38580
"22","22",241634,71407,71296,71405,68679,41781,68386,39859,69195,58114,51193,13700,67438,71656
"23","23",219754,66698,66867,66777,61616,20835,60600,21478,64154,34167,30144,5239,56881,67021
"24","24",11527,2477,2478,2478,2286,1442,2359,955,2222,1330,737,297,2262,2496
"25","25",21334,4939,4850,4862,4808,2765,4737,1727,4634,2570,1816,278,4917,4985
"26","26",68426,19642,19599,19633,19304,14393,18839,11890,18759,15016,10627,3754,18766,19724
"27","27",41062,11788,11744,11753,11221,5671,11093,4993,11025,7246,8118,626,11785,11844
"28","28",104176,31391,31229,31384,29445,13620,28830,6243,29474,11068,7574,926,29136,31487
"29","29",87381,24729,24632,24669,22559,13720,23447,13852,23110,16649,11446,2900,23564,24804
"30","30",162312,55489,55419,55413,52892,22480,52126,26290,51233,37811,28761,4906,53942,55759
"31","31",64294,17525,16953,16949,15681,4235,16461,4037,16362,7262,5152,606,17095,17634
"32","32",2740,467,464,463,434,303,444,130,443,255,193,20,462,467
