fsq_place_id,name,latitude,longitude,address,locality,region,postcode,admin_region,post_town,po_box,country,date_created,date_refreshed,date_closed,tel,website,email,facebook_id,instagram,twitter,fsq_category_ids,fsq_category_labels,placemaker_url,geom,bbox,labels_str,taco_restaurant
9af3a82102ff47e5ac2bed23,Tacos al Vapor Chiquitos Pero Sabrosos,,,Boulevard Mariano Escobedo 1605,León,Guanajuato,37020,,,,MX,2016-08-12,2016-08-12,,477 211 4331,,,,,,['4bf58dd8d48988d151941735'],['Dining and Drinking > Restaurant > Mexican Restaurant > Taco Restaurant'],https://foursquare.com/placemakers/review-place/9af3a82102ff47e5ac2bed23,,"{'xmin': None, 'ymin': None, 'xmax': None, 'ymax': None}",dining and drinking > restaurant > mexican restaurant > taco restaurant,1
505a0aa6e4b08a42f3197546,tacos la rosa del desierto,32.578556060791016,-115.35274505615234,,,,,,,,MX,2012-09-19,2016-03-03,,,,,,,,['4bf58dd8d48988d151941735'],['Dining and Drinking > Restaurant > Mexican Restaurant > Taco Restaurant'],https://foursquare.com/placemakers/review-place/505a0aa6e4b08a42f3197546,b'\x00\x00\x00\x00\x01\xc0\\\xd6\x93`\x00\x00\x00@@J\x0e \x00\x00\x00',"{'xmin': -115.35274505615234, 'ymin': 32.578556060791016, 'xmax': -115.35274505615234, 'ymax': 32.578556060791016}",dining and drinking > restaurant > mexican restaurant > taco restaurant,1
4d3109b6eefa8cfa07f726b3,Tacos El Gallo - La Mesa,32.489829,-116.951619,,,,,,,,MX,2011-01-15,2011-12-11,,,,,,,,['4bf58dd8d48988d151941735'],['Dining and Drinking > Restaurant > Mexican Restaurant > Taco Restaurant'],https://foursquare.com/placemakers/review-place/4d3109b6eefa8cfa07f726b3,b'\x00\x00\x00\x00\x01\xc0]<\xe7S`\xd0$@@>\xb2\xb7w\xd0\xf2',"{'xmin': -116.951619, 'ymin': 32.489829, 'xmax': -116.951619, 'ymax': 32.489829}",dining and drinking > restaurant > mexican restaurant > taco restaurant,1
52ec2119498ea0225546bcab,tacos los amigos,32.543992280072686,-116.93688126525565,,,,,,,,MX,2014-01-31,2023-11-09,,,,,,,,['4bf58dd8d48988d151941735'],['Dining and Drinking > Restaurant > Mexican Restaurant > Taco Restaurant'],https://foursquare.com/placemakers/review-place/52ec2119498ea0225546bcab,b'\x00\x00\x00\x00\x01\xc0];\xf5\xdc\xd6\xa0\x85@@E\xa1\x89\xfe\x18&',"{'xmin': -116.93688126525565, 'ymin': 32.543992280072686, 'xmax': -116.93688126525565, 'ymax': 32.543992280072686}",dining and drinking > restaurant > mexican restaurant > taco restaurant,1
51a7a984498e45734b1e9184,La Carreta,32.60874,-115.399752,Calle 1ra,Mexicali,Baja California,21397,,,,MX,2013-05-30,2013-05-30,,,,,,,,['4bf58dd8d48988d151941735'],['Dining and Drinking > Restaurant > Mexican Restaurant > Taco Restaurant'],https://foursquare.com/placemakers/review-place/51a7a984498e45734b1e9184,b'\x00\x00\x00\x00\x01\xc0\\\xd9\x95\x89i\xa0\xae@@M\xeb1;\xe2.',"{'xmin': -115.399752, 'ymin': 32.60874, 'xmax': -115.399752, 'ymax': 32.60874}",dining and drinking > restaurant > mexican restaurant > taco restaurant,1
552ab7f7498e18fba3f5f1ad,Tacos Culichi Town,32.629241,-115.39941,Blvd. Carranza,Mexicali,Baja California,,,,,MX,2015-04-12,2018-08-23,,,,,,,,['4bf58dd8d48988d151941735'],['Dining and Drinking > Restaurant > Mexican Restaurant > Taco Restaurant'],https://foursquare.com/placemakers/review-place/552ab7f7498e18fba3f5f1ad,b'\x00\x00\x00\x00\x01\xc0\\\xd9\x8f\xee\xf5\xec\x81@@P\x8a\xf8\x16&\xb3',"{'xmin': -115.39941, 'ymin': 32.629241, 'xmax': -115.39941, 'ymax': 32.629241}",dining and drinking > restaurant > mexican restaurant > taco restaurant,1
5954219fe679bc2571458829,Tacos De Cajeme,32.521379,-117.01671,,Tijuana,BC,22406,,,,MX,2017-06-28,2017-07-05,,,,,,,,['4bf58dd8d48988d151941735'],['Dining and Drinking > Restaurant > Mexican Restaurant > Taco Restaurant'],https://foursquare.com/placemakers/review-place/5954219fe679bc2571458829,b'\x00\x00\x00\x00\x01\xc0]A\x11\xc6\xd1\xe1\t@@B\xbc\x8c\x0c\xe9\x1d',"{'xmin': -117.01671, 'ymin': 32.521379, 'xmax': -117.01671, 'ymax': 32.521379}",dining and drinking > restaurant > mexican restaurant > taco restaurant,1
4d622c14149637044e36fb94,Tacos El Güero,32.63917916559476,-115.43276278028394,Independencia S,Mexicali,BC,,,,,MX,2011-02-21,2023-09-29,,686 140 6632,,,,,,['4bf58dd8d48988d151941735'],['Dining and Drinking > Restaurant > Mexican Restaurant > Taco Restaurant'],https://foursquare.com/placemakers/review-place/4d622c14149637044e36fb94,b'\x00\x00\x00\x00\x01\xc0\\\xdb\xb2b\xa9\x0f\xb7@@Q\xd0\x9fvA\xcd',"{'xmin': -115.43276278028394, 'ymin': 32.63917916559476, 'xmax': -115.43276278028394, 'ymax': 32.63917916559476}",dining and drinking > restaurant > mexican restaurant > taco restaurant,1
6744c247bdfb522d90ab598f,Shijune Takeda,32.51566059471442,-117.11976438760759,P.º Playas de Tijuana 2276-2277,Tijuana,B.C.,22505,,,,MX,2024-11-25,2024-12-05,,664 348 4439,,,,,,['4bf58dd8d48988d151941735'],['Dining and Drinking > Restaurant > Mexican Restaurant > Taco Restaurant'],https://foursquare.com/placemakers/review-place/6744c247bdfb522d90ab598f,b'\x00\x00\x00\x00\x01\xc0]G\xaa8@\x00\x01@@B\x01*\x97\x112',"{'xmin': -117.11976438760759, 'ymin': 32.51566059471442, 'xmax': -117.11976438760759, 'ymax': 32.51566059471442}",dining and drinking > restaurant > mexican restaurant > taco restaurant,1
5a05e18b60d11b133a530aed,Taco Guapo,32.63772,-115.47294,Pioneros 1132,Mexicali,Baja California,21000,,,,MX,2017-11-10,2017-11-10,,,,,,,,['4bf58dd8d48988d151941735'],['Dining and Drinking > Restaurant > Mexican Restaurant > Taco Restaurant'],https://foursquare.com/placemakers/review-place/5a05e18b60d11b133a530aed,"b'\x00\x00\x00\x00\x01\xc0\\\xdeD\xa6"">\x18@@Q\xa0\xcf\x18\x00\xa8'","{'xmin': -115.47294, 'ymin': 32.63772, 'xmax': -115.47294, 'ymax': 32.63772}",dining and drinking > restaurant > mexican restaurant > taco restaurant,1
53aba5bf498efa7abba9543a,"Tacos ""La Villita""",32.505084,-116.866738,,,,,,,,MX,2014-06-26,2024-09-29,,,,,,,,['4bf58dd8d48988d151941735'],['Dining and Drinking > Restaurant > Mexican Restaurant > Taco Restaurant'],https://foursquare.com/placemakers/review-place/53aba5bf498efa7abba9543a,b'\x00\x00\x00\x00\x01\xc0]7x\xa2\xa9\x0c\xd4@@@\xa6\x97\xae\xdd\xce',"{'xmin': -116.866738, 'ymin': 32.505084, 'xmax': -116.866738, 'ymax': 32.505084}",dining and drinking > restaurant > mexican restaurant > taco restaurant,1
595fc50eee712007dc08ae35,Tacos De Guisado Peru,32.66139,-115.4355,,Sonora,Baja California,21210,,,,MX,2017-07-07,2018-12-07,,,,,,,,['4bf58dd8d48988d151941735'],['Dining and Drinking > Restaurant > Mexican Restaurant > Taco Restaurant'],https://foursquare.com/placemakers/review-place/595fc50eee712007dc08ae35,b'\x00\x00\x00\x00\x01\xc0\\\xdb\xdf;dZ\x1d@@T\xa8mq\xf3b',"{'xmin': -115.4355, 'ymin': 32.66139, 'xmax': -115.4355, 'ymax': 32.66139}",dining and drinking > restaurant > mexican restaurant > taco restaurant,1
5aaf51f4b76348385c82ed75,Asadero el Rancho,32.468591,-114.789964,Constitucion s/n,San Luis Río Colorado,Sonora,83420,,,,MX,2014-02-20,2014-02-20,,653 536 5192,,,,,,['4bf58dd8d48988d151941735'],['Dining and Drinking > Restaurant > Mexican Restaurant > Taco Restaurant'],https://foursquare.com/placemakers/review-place/5aaf51f4b76348385c82ed75,b'\x00\x00\x00\x00\x01\xc0\\\xb2\x8e\xc5*A\x1c@@;\xfa\xca6\x19\x98',"{'xmin': -114.789964, 'ymin': 32.468591, 'xmax': -114.789964, 'ymax': 32.468591}",dining and drinking > restaurant > mexican restaurant > taco restaurant,1
51f6cf1e498e85c80ce1a5a2,Tacos Varios,32.50723942709654,-116.92017675701373,,,,,,,,MX,2013-07-29,2017-10-21,,,,,,,,['4bf58dd8d48988d151941735'],['Dining and Drinking > Restaurant > Mexican Restaurant > Taco Restaurant'],https://foursquare.com/placemakers/review-place/51f6cf1e498e85c80ce1a5a2,b'\x00\x00\x00\x00\x01\xc0]:\xe4-\rzt@@@\xed8\xb7O\x8b',"{'xmin': -116.92017675701373, 'ymin': 32.50723942709654, 'xmax': -116.92017675701373, 'ymax': 32.50723942709654}",dining and drinking > restaurant > mexican restaurant > taco restaurant,1
