Entidad Federativa,latitud_centroide,longitud_centroide,total_places
Ciudad de México,19.276809055987247,-99.13936911787997,285859
Jalisco,20.578763738235367,-103.61634393566212,33314
México,19.35551592806577,-99.64623316823308,24008
Aguascalientes,22.00637880887616,-102.36201473132029,23909
Morelos,18.741998739669313,-99.07495077811016,12340
Sinaloa,24.9952473358966,-107.49374253033534,10753
Tlaxcala,19.42857831207203,-98.16846893928395,8136
Nuevo León,25.564588625890195,-99.96855279514646,3452
Colima,19.13476728990914,-104.11544740590269,3392
Zacatecas,23.2840268220838,-102.66471164621034,2618
Puebla,19.003536539116144,-97.9009580666916,2112
Querétaro,20.854645243602743,-99.8470868925786,996
Veracruz de Ignacio de la Llave,19.3840109979244,-96.39589186388515,780
Tabasco,17.939104491522432,-92.59284805272269,730
Oaxaca,16.9621661039673,-96.42868884977776,675
Hidalgo,20.47900785948126,-98.88704315493686,613
Quintana Roo,19.597507903107108,-88.1165610009034,330
Yucatán,20.75747594281163,-88.92734305860868,260
Guanajuato,20.904736904767898,-101.0132035625097,259
Michoacán de Ocampo,19.206944205437797,-101.88019810659428,257
San Luis Potosí,22.584338289376117,-100.41071131130944,187
Chiapas,16.484505457109194,-92.4729970405869,120
Nayarit,21.800680016253395,-104.85364977266688,108
Durango,24.918539408328385,-104.9123999501423,86
Tamaulipas,24.28049305998906,-98.6424336107862,33
Chihuahua,28.794217590918663,-106.4621187473563,30
Sonora,29.676438687493693,-110.78404939744232,30
Guerrero,17.66878497500469,-99.9186943011856,27
Campeche,18.839252946919597,-90.36129129896044,15
Baja California Sur,25.907317927598815,-112.03821853509793,10
Baja California,30.535926831375665,-115.0750650444254,6
Coahuila de Zaragoza,27.282632750888915,-102.04445652341306,3
