id,clee,nom_estab,raz_social,codigo_act,nombre_act,per_ocu,tipo_vial,nom_vial,tipo_v_e_1,nom_v_e_1,tipo_v_e_2,nom_v_e_2,tipo_v_e_3,nom_v_e_3,numero_ext,letra_ext,edificio,edificio_e,numero_int,letra_int,tipo_asent,nomb_asent,tipoCenCom,nom_CenCom,num_local,cod_postal,cve_ent,entidad,cve_mun,municipio,cve_loc,localidad,ageb,manzana,telefono,correoelec,www,tipoUniEco,latitud,longitud,fecha_alta
6232561,09015722110006034102003628S6,1021 CHILIS REFORMA 222,GASTRO SUR SA DE CV,722511,Restaurantes con servicio de preparación de alimentos a la carta o de comida corrida,31 a 50 personas,AVENIDA,PASEO DE LA REFORMA,CALLE,HAVRE,CALLE,NÁPOLES,CALLE,HAMBURGO,222,NA,NA,NA,NA,R-04 L-101,COLONIA,JUAREZ,EDIFICIO COMERCIAL Y DE SERVICIOS,REFORMA DOS VIENTIDOS,NA,06600,09,Ciudad de México,015,Cuauhtémoc,0001,Cuauhtémoc,0803,008,NA,CH_REFORMA@CHILISMEXICO.COM.MX,WWW.CHILIS.COM.MX,Fijo,19.42903331,-99.16222755,2010-07
6319242,09015722110006124002003628S5,1022 CHILIS ALAMEDA JUAREZ,GASTRO SUR SA DE CV,722511,Restaurantes con servicio de preparación de alimentos a la carta o de comida corrida,31 a 50 personas,AVENIDA,JUÁREZ,CALLE,DOLORES,CALLE,LUIS MOYA,CALLE,INDEPENDENCIA,30,B,NA,NA,NA,NA,COLONIA,CENTRO,NA,NA,NA,06050,09,Ciudad de México,015,Cuauhtémoc,0001,Cuauhtémoc,0748,010,NA,CH_ALAMEDA@CHILISMEXICO.COM.MX,WWW.CHILIS.COM.MX,Fijo,19.43441186,-99.14292139,2010-07
6795157,09015722110007151001003628S7,1033 CHILLIS ZONA ROSA,GASTRO SUR SA DE CV,722511,Restaurantes con servicio de preparación de alimentos a la carta o de comida corrida,31 a 50 personas,CALLE,LONDRES,CALLE,AMBERES,CALLE,GÉNOVA,CALLE,HAMBURGO,127,NA,NA,NA,NA,53 AL 55 Y,COLONIA,JUAREZ,NA,NA,NA,06600,09,Ciudad de México,015,Cuauhtémoc,0001,Cuauhtémoc,095A,008,NA,ZONAROSA@CHILIS.COM.MX,WWW.CHILIS.COM.MX,Fijo,19.42531656,-99.16434183,2017-03
6320506,09015722511000284002003628S2,1041 CHILIS BUENAVISTA,GASTRO SUR SA DE CV,722511,Restaurantes con servicio de preparación de alimentos a la carta o de comida corrida,31 a 50 personas,OTRO(ESPECIFIQUE),NINGUNO,AVENIDA,INSURGENTES NORTE,ANDADOR,NINGUNO,ANDADOR,NINGUNO,259,NA,NA,NA,NA,N1-38,COLONIA,BUENAVISTA,NA,NA,NA,06350,09,Ciudad de México,015,Cuauhtémoc,0001,Cuauhtémoc,049A,001,NA,CH_BUENAVISTA@CHILISMEXICO.COM.MX,WWW.CHILIS.COM.MX,Fijo,19.44689894,-99.15253949,2014-12
6708952,09015722511008133001003628S3,1045 CHILIS PABELLON CUAUHTEMOC,GASTRO SUR SA DE CV,722511,Restaurantes con servicio de preparación de alimentos a la carta o de comida corrida,31 a 50 personas,EJE VIAL,1 PONIENTE (AVENIDA CUAUHTÉMOC),CALLE,HUATABAMPO,CALLE,ANTONIO M  ANZA,CALLE,TOLUCA,20,NA,NA,NA,NA,NA,COLONIA,DOCTORES,NA,NA,NA,06720,09,Ciudad de México,015,Cuauhtémoc,0001,Cuauhtémoc,138A,002,NA,CH_CUAUHTEMOC@CHILISMEXICO.COM.MX,WWW.CHILIS.COM.MX,Fijo,19.41170304,-99.15492427,2016-01
9392977,09015722511017303000003628S1,1070 CHILIS PORTAL CENTRO,GASTRO SUR SA DE CV,722511,Restaurantes con servicio de preparación de alimentos a la carta o de comida corrida,31 a 50 personas,CALLE,LORENZO BOTURINI,CALLE,XOCONGO,CALLE,FRANCISCO J. CLAVIJERO,CALLE,CALLEJÓN SAN ANTONIO ABAD,258,NA,NA,NA,NA,NA,COLONIA,TRANSITO,NA,NA,NA,06820,09,Ciudad de México,015,Cuauhtémoc,0001,Cuauhtémoc,106A,003,NA,CH_PCENTRO@CHILIS.COM.MX,WWW.CHILIS.COM.MX,Fijo,19.41770019,-99.13009055,2023-11
6812948,09015722518005224011028201S8,1500 REFORMA 222,ESPECIALISTAS EN RESTAURANTES DE COMIDA ESTILO ASIATICA SA DE CV,722511,Restaurantes con servicio de preparación de alimentos a la carta o de comida corrida,31 a 50 personas,AVENIDA,PASEO DE LA REFORMA,CALLE,NÁPOLES,CALLE,HAVRE,CALLE,HAMBURGO,222,NA,NA,NA,NA,NA,COLONIA,JUAREZ,CENTRO Y PLAZA COMERCIAL,REFORMA 222,SN,06600,09,Ciudad de México,015,Cuauhtémoc,0001,Cuauhtémoc,0803,008,NA,TUOPINIO@PFCHANGSMEXICO.COM.MX,WWW.PFCHANGSMEXICO.COM.MX,Fijo,19.429225249999998,-99.16181842,2017-11
10788719,09015722511022902000000000U3,1985 AUTIFINE,NA,722511,Restaurantes con servicio de preparación de alimentos a la carta o de comida corrida,6 a 10 personas,CALLE,ORIZABA,CALLE,COLIMA,CALLE,PLAZA RIO DE JANEIRO,CALLE,CORDOBA,76,NA,ORIZABA 76,PLANTA BAJA,NA,NA,COLONIA,ROMA NORTE,EDIFICIO COMERCIAL Y DE SERVICIOS,ORIZABA 76,SN,06700,09,Ciudad de México,015,Cuauhtémoc,0001,Cuauhtémoc,1002,011,NA,ADMINISTRACION@1985ANTIFINEDININ.COM,NA,Fijo,19.42018192,-99.16009886,2024-11
10877693,09015722511022471000000000U9,27 AMIGOS RESTAURANTE,RESTAURANTE DE BICENTENARIO SA DE CV,722511,Restaurantes con servicio de preparación de alimentos a la carta o de comida corrida,0 a 5 personas,AVENIDA,JOSE MARIA PINO SUAREZ,CALLE,RINCONADA DE JESUS,CALLE,REPUBLICA DE URUGUAY,CALLE,20 DE NOVIEMBRE,27,NA,NA,NA,2,NA,CIUDAD,CENTRO HISTORICO,NA,NA,NA,06060,09,Ciudad de México,015,Cuauhtémoc,0001,Cuauhtémoc,0818,017,NA,NA,NA,Fijo,19.42962968,-99.13259707,2024-11
9770626,09015722511022772000000000U0,3 HERMANOS,NA,722511,Restaurantes con servicio de preparación de alimentos a la carta o de comida corrida,6 a 10 personas,CALLE,REPUBLICA DE VENEZUELA,CALLE,CALLE DEL CARMEN,CALLE,REPUBLICA DE ARGENTINA,CALLE,SAN ILDEFONSO,31,NA,NA,NA,NA,NA,COLONIA,CENTRO,NA,NA,NA,06500,09,Ciudad de México,015,Cuauhtémoc,0001,Cuauhtémoc,0659,020,NA,NA,NA,Fijo,19.43724528,-99.13093585,2024-11
